rank,id,Player,Team,Position,Floor,Mean,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank
98,2563896,Jerry Jeudy,DEN,WR,109,141,153,8.06,3.2,-28.7,0.212,6,79.4,9.01,NA,24
99,2541785,Adam Thielen,MIN,WR,123,141,170,22.1,5.95,-28.9,1.17,6,72.9,10.8,NA,25
100,100003,Bills,BUF,DST,122,141,165,15.4,2.87,0,14.3,1,144,2.49,NA,1
101,2560888,Courtland Sutton,DEN,WR,98.3,140,168,16.8,4.8,-30.1,0.345,6,78.6,12.8,NA,26
102,2507232,Mason Crosby,GB,K,118,140,150,7.51,5.29,-17.3,0.215,3,150,1.92,Q,11
103,89802,Ryan Succop,TB,K,137,140,142,2.55,2.4,-17.5,1.11,3,174,1.6,NA,12
104,2557917,Kareem Hunt,CLE,RB,111,139,162,9.12,3.01,-62.8,0.702,9,81.9,11.6,NA,32
105,2563707,Darnell Mooney,CHI,WR,126,139,161,9.96,3.46,-30.5,1.41,6,83.7,10.2,NA,27
106,2564106,Rodrigo Blankenship,IND,K,120,139,150,8.25,4.23,-18.7,0.31,3,176,1.56,NA,13
107,2539227,Dustin Hopkins,LAC,K,126,139,146,4.46,4.32,-19,1.53,3,182,1.73,NA,14
108,2562699,Tony Pollard,DAL,RB,129,138,154,8.15,3.01,-63.5,4.06,9,89,9.1,NA,33
109,2556370,Michael Thomas,NO,WR,119,138,151,9.35,5.03,-31.9,1.17,7,87.2,14.5,Q,28
110,2543509,Allen Robinson,LAR,WR,102,137,148,12.1,4.39,-33,1.33,7,81.8,11.5,NA,29
111,2506264,Robbie Gould,SF,K,126,137,146,8.37,5.1,-20.5,0.458,3,144,1.71,NA,15
112,2561153,Jason Sanders,MIA,K,131,137,144,5.68,4.38,-21,1.16,3,178,1.37,NA,16
113,2558105,Chris Godwin,TB,WR,116,135,160,19.3,6.83,-34.4,0.528,7,66.3,10.7,Q,30
114,2566073,Amon-Ra St. Brown,DET,WR,120,135,157,10.3,3.83,-34.9,2.01,7,91,8.85,NA,31
115,2559205,Younghoe Koo,ATL,K,126,135,146,10.7,7.96,-22.1,1.36,3,158,1.58,NA,17
116,2552469,Melvin Gordon,DEN,RB,121,134,162,12.9,3.43,-67.5,5.81,10,87.9,9.5,NA,34
117,2552408,Darren Waller,LVR,TE,114,134,158,16.5,4.9,74.1,4.24,2,49.2,15.6,NA,3
118,2558172,Jake Elliott,PHI,K,110,134,146,9.32,5.1,-23.5,1.34,4,182,2.28,NA,18
119,2562379,Marquise Brown,ARI,WR,111,133,152,12.5,4.31,-36.9,7.17,7,77.5,9.64,NA,32
120,2556601,Wil Lutz,NO,K,117,133,150,19.1,9.86,-24.8,1.38,4,159,1.34,NA,19
121,71309,Graham Gano,NYG,K,126,131,138,4.24,4.2,-26.2,2.4,4,NA,4.08,NA,20
122,2558266,George Kittle,SF,TE,118,130,156,10.9,3.71,69.8,2.53,2,42.4,17.3,Q,4
123,2533444,Randy Bullock,TEN,K,118,129,138,6.56,6.31,-28.6,2.22,5,NA,NA,NA,21
124,2566343,Rhamondre Stevenson,NE,RB,100,128,137,9.96,3.41,-73.4,1.87,10,109,4.82,NA,35
125,2565830,Kyle Pitts,ATL,TE,111,128,160,17.6,5.61,67.3,8,3,45.6,23.1,NA,5
126,2560711,Chase Edmonds,MIA,RB,120,127,148,6.13,3,-75.2,3.7,10,99.7,8.57,NA,36
127,2550636,Cairo Santos,CHI,K,120,127,132,4.49,5.04,-30.8,2.64,5,NA,1.82,NA,22
128,100008,Cowboys,DAL,DST,120,127,146,8.28,3.3,-14.3,0.51,1,172,1.73,NA,2
129,2566385,Elijah Moore,NYJ,WR,98.7,126,146,11.9,4.47,-44.1,1.05,8,85.2,7.74,NA,33
130,100022,Saints,NO,DST,114,126,138,4.59,1.8,-14.8,0.0065,1,180,1.23,NA,3
131,100011,Packers,GB,DST,107,126,131,3.33,1.84,-14.8,2.26,2,193,1.25,NA,4
132,2558149,JuJu Smith-Schuster,KC,WR,108,125,150,5.98,3.62,-45.1,0.589,8,93.1,10.7,NA,34
133,2540169,Robert Woods,TEN,WR,102,124,151,15.6,5.69,-45.7,0.197,8,108,7.38,Q,35
